Shape Area,Quality Flags,GeoUID,Type,Households,CD_UID,Dwellings,Population,name,CSD_UID,CT_UID,CMA_UID,Region Name,Area (sq km),Population (n),Total private dwellings (n),Population density per square kilometre,Median Value of Dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),Occupied private dwellings (n),Single-detached house,Semi-detached house,Row house,Apartment or flat in a duplex,Apartment with <5 stories,Apartment with 5 or more stories,Other single attached house,No Bedrooms,1 Bedroom,2 Bedrooms,3 Bedrooms,4 or more bedrooms,Dwelling Density
0.0664,"0","35204607",DA,"970","3520","1176","1608","35204607","3520005","5350035.00","35535","35204607",0.0664,1608,1176,24216.9,650000,1500,2060,970,0,0,0,0,25,945,0,110,660,210,0,0,17710.843373494
0.0438,"0","35204608",DA,"492","3520","580","867","35204608","3520005","5350035.00","35535","35204608",0.0438,867,580,19794.5,650000,1350,1800,490,0,0,0,0,5,490,0,0,310,150,0,0,13242.0091324201
0.1546,"0","35204609",DA,"151","3520","169","284","35204609","3520005","5350034.02","35535","35204609",0.1546,284,169,1837,,,800,150,5,5,0,0,10,130,0,0,100,40,25,0,1093.14359637775
0.0119,"0","35204610",DA,"619","3520","853","942","35204610","3520005","5350034.01","35535","35204610",0.0119,942,853,79159.7,755000,2340,1550,620,0,0,0,0,20,595,5,10,340,105,85,35,71680.6722689076
0.0118,"0","35204611",DA,"480","3520","526","777","35204611","3520005","5350034.02","35535","35204611",0.0118,777,526,65847.5,870000,2160,2180,480,0,0,0,0,0,480,0,20,260,175,30,0,44576.2711864407
0.0371,"0","35204612",DA,"464","3520","528","810","35204612","3520005","5350034.02","35535","35204612",0.0371,810,528,21832.9,600000,1480,1300,465,0,0,0,0,0,460,0,15,205,210,35,0,14231.8059299191
0.0177,"0","35204613",DA,"779","3520","1042","1291","35204613","3520005","5350034.02","35535","35204613",0.0177,1291,1042,72937.9,695000,2080,1780,775,0,5,0,5,125,650,0,30,370,330,20,0,58870.0564971751
0.0146,"0","35204614",DA,"808","3520","870","1282","35204614","3520005","5350034.02","35535","35204614",0.0146,1282,870,87808.2,592000,1430,1140,810,0,0,0,0,0,810,0,55,465,220,50,0,59589.0410958904
0.1624,"0","35204615",DA,"2214","3520","2858","3548","35204615","3520005","5350034.02","35535","35204615",0.1624,3548,2858,21847.3,750000,2060,1820,2215,5,0,0,0,35,2175,0,235,1335,590,90,0,17598.5221674877
0.3102,"0","35204616",DA,"980","3520","1274","1648","35204616","3520005","5350035.00","35535","35204616",0.3102,1648,1274,5312.7,650000,1440,1880,980,0,0,0,0,0,980,0,75,570,260,45,0,4107.027724049
0.1681,"0","35204617",DA,"587","3520","797","1002","35204617","3520005","5350035.00","35535","35204617",0.1681,1002,797,5960.7,,,1540,585,0,0,0,0,0,585,0,0,430,120,20,0,4741.2254610351
